shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,39.998887033695325,-0.03234557475408906,1
1,39.993119325789934,-0.032838805242306535,2
1,39.98586186122483,-0.03541521295022676,3
1,39.98400187778344,-0.03778698581874096,4
1,39.979466808275475,-0.042829504869786206,5
1,39.975931184282075,-0.04856914878456564,6
1,39.945564958352435,-0.06328689174756619,7
1,39.945452267302954,-0.06375458873375806,8
1,39.945349820733156,-0.06447617836948893,9
1,39.954987457085394,-0.07372607345180882,10
1,39.954743903200125,-0.07563242509502288,11
1,39.95290370308055,-0.0791627016040195,12
1,39.93693781029387,-0.10094938134068343,13
10,39.975258,0.015834,1
10,39.978196,0.017649,2
10,39.978254001226134,0.01784569132132674,3
10,39.97828670902496,0.017916339738690112,4
10,39.978258008454105,0.01804315260451972,5
10,39.978275430475435,0.018168024725895293,6
10,39.978326183933206,0.01826663814188123,7
10,39.978429,0.018335,8
10,39.978509170311185,0.018333042704369973,9
10,39.97857298748852,0.018299375819452735,10
10,39.97868161233424,0.018139901101733358,11
10,39.978817,0.018081,12
10,39.97912,0.018169,13
10,39.993603,0.026139,14
11,39.993603,0.026139,1
11,39.97912,0.018169,2
11,39.978817,0.018081,3
11,39.97868161233424,0.018139901101733358,4
11,39.97857298748852,0.018299375819452735,5
11,39.978509170311185,0.018333042704369973,6
11,39.978429,0.018335,7
11,39.978326183933206,0.01826663814188123,8
11,39.978275430475435,0.018168024725895293,9
11,39.978258008454105,0.01804315260451972,10
11,39.97828670902496,0.017916339738690112,11
11,39.978254001226134,0.01784569132132674,12
11,39.978196,0.017649,13
11,39.975258,0.015834,14
2,39.93693781029387,-0.10094938134068343,1
2,39.95290370308055,-0.0791627016040195,2
2,39.954743903200125,-0.07563242509502288,3
2,39.954987457085394,-0.07372607345180882,4
2,39.945349820733156,-0.06447617836948893,5
2,39.945452267302954,-0.06375458873375806,6
2,39.945564958352435,-0.06328689174756619,7
2,39.975931184282075,-0.04856914878456564,8
2,39.979466808275475,-0.042829504869786206,9
2,39.98400187778344,-0.03778698581874096,10
2,39.98586186122483,-0.03541521295022676,11
2,39.993119325789934,-0.032838805242306535,12
2,39.998887033695325,-0.03234557475408906,13
3,39.994403197020205,-0.06856840629021121,1
3,39.9942662452907,-0.06866540659203224,2
3,39.994176378520365,-0.06872525496459048,3
3,39.99408802195762,-0.06872182676082161,4
3,39.99399756163518,-0.06868096716866035,5
3,39.99394254096117,-0.06860436125205638,6
3,39.99388843725515,-0.06851339172544613,7
3,39.99386092687976,-0.06843080097121401,8
3,39.99382488217478,-0.06821163557458476,9
3,39.99386578182717,-0.0679095494168962,10
3,39.993853668664286,-0.06774036968994324,11
3,39.99378220095946,-0.0675474731783936,12
3,39.993648094833134,-0.06721523213525415,13
3,39.99270418414966,-0.0650002972534196,14
3,39.992646037846356,-0.06479440744894305,15
3,39.99266612262463,-0.06440009468167318,16
3,39.99264822297263,-0.06426225029392185,17
3,39.99258380948501,-0.0639818659649336,18
3,39.99228521341428,-0.0626419561251339,19
3,39.99203730209399,-0.061531011440337124,20
3,39.99173658440526,-0.060174749176240994,21
3,39.99121952810049,-0.057871213555529266,22
3,39.990788196408744,-0.05592481094731738,23
3,39.990741118924745,-0.05578094490314811,24
3,39.99065731234887,-0.055403350026551834,25
3,39.990489559747346,-0.05456075626347001,26
3,39.99035982020041,-0.05393598925263632,27
3,39.9902099345467,-0.053272304154518224,28
3,39.98999316263871,-0.05235408436556099,29
3,39.989929212953996,-0.052068019444135416,30
3,39.98984621122503,-0.05177982725433594,31
3,39.98974709093437,-0.05145902961206161,32
3,39.98966972989615,-0.051116144013519715,33
3,39.98957544582473,-0.05067754597524754,34
3,39.98951581321549,-0.05040723432227878,35
3,39.98939977061056,-0.04988975335524515,36
3,39.98927578719616,-0.04937445126861917,37
3,39.988994692506765,-0.04821770339802356,38
3,39.98894260217662,-0.04799160338882302,39
3,39.98886991792833,-0.04774811107142796,40
3,39.98879965641461,-0.0475014565163292,41
3,39.98869062990019,-0.04706032779810698,42
3,39.988605831289675,-0.0466731666092528,43
3,39.9884929314278,-0.0461125265485407,44
3,39.98812080181159,-0.04468535541371921,45
3,39.98762679459966,-0.0427901396566881,46
3,39.98711032570836,-0.040178513258297244,47
3,39.98643037713748,-0.037416163206302144,48
3,39.98586838583887,-0.03534447264348728,49
3,39.9856764600226,-0.034528357796943965,50
3,39.98543852114378,-0.03332740959947955,51
3,39.98507487563651,-0.03159445539230887,52
3,39.98477313760216,-0.030058654859288936,53
3,39.98454591059942,-0.028918874888375967,54
3,39.984472937139,-0.028541508176090247,55
3,39.98442985132186,-0.02841342477455555,56
3,39.984410702063485,-0.028269721443791695,57
3,39.984398774636674,-0.028148152677289318,58
3,39.98432816167923,-0.027760778489636095,59
3,39.98401937730935,-0.026220651967207687,60
3,39.98387455715468,-0.025499005097287863,61
3,39.98374170796791,-0.024747686610709252,62
3,39.98361364589516,-0.024083839714165833,63
3,39.983426936986916,-0.02314508158073636,64
3,39.98237691782995,-0.017944752651942508,65
3,39.98182682961473,-0.015242054726371634,66
3,39.98117419159823,-0.011990871607167719,67
3,39.980253672059604,-0.007493898758866635,68
3,39.980181991365356,-0.0071142367034155995,69
3,39.979557169600156,-0.004011837929624562,70
3,39.978397765709786,0.0016726561397888418,71
3,39.97766050947473,0.005315730436592503,72
3,39.97701979620871,0.008489990859345653,73
3,39.97668163531506,0.010126631387606722,74
3,39.97644484656226,0.011370896320698876,75
3,39.976443580310274,0.011567532486509435,76
3,39.976430917788605,0.011679896009354707,77
3,39.97640559273816,0.011793911936905488,78
3,39.976358741369864,0.011926104316472674,79
3,39.976277701089316,0.012127697696229234,80
3,39.975912901500834,0.01309341046010104,81
3,39.975660624098936,0.013754036011164317,82
3,39.97532152693694,0.014706729989427458,83
3,39.975016759535805,0.015513179240087993,84
3,39.975016759535805,0.015513179240087993,85
4,39.97514116891,0.01531061724190863,1
4,39.97589930011668,0.013225094821876837,2
4,39.976344172383534,0.012080732398487726,3
4,39.976413884726156,0.011919257917668347,4
4,39.976464426130235,0.011748686282885501,5
4,39.97649231102665,0.01160313182168693,6
4,39.97650102507524,0.011446205849694024,7
4,39.97650276706807,0.011166471798304656,8
